Item,Tipo,Estado,Norma de Aprobacion,Fecha,Denominacion,Tipo de Archivo,Nombre de Archivo Local,Ruta Relativa,URL Origen
12,Lineamiento,Vigente,RDE N° D000125-2023-MIDAGRI-SERFOR-DE,2023-05-25,Aprobar los “Lineamientos para la elaboración de la declaración de manejo de fauna silvestre para centros de conservación”.,Documento / Lineamiento,12_aprobar_los_lineamientos_para_la_elaboracion_de_la_decl_documento.pdf,Documentos Normativos OPR/Lineamiento/Vigente/12_aprobar_los_lineamientos_para_la_elaboracion_de_la_decl_documento.pdf,https://cdn.www.gob.pe/uploads/document/file/4696744/Proyectos_de_Lin._Dema_Centros_de_Conservacion_7_03_2023_vfFFlzzTs.pdf?v=1686936917
13,Lineamiento,Vigente,RDE N° D000081-2023-MIDAGRI-SERFOR-DE,2023-03-23,Aprobar los “Lineamientos para la elaboración de declaraciones de manejo de fauna silvestre para centros de rescate”.,Resolucion,13_aprobar_los_lineamientos_para_la_elaboracion_de_declara_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/13_aprobar_los_lineamientos_para_la_elaboracion_de_declara_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/4429403/RDE-000081-2023-DE.pdf?v=1717086414
13,Lineamiento,Vigente,RDE N° D000081-2023-MIDAGRI-SERFOR-DE,2023-03-23,Aprobar los “Lineamientos para la elaboración de declaraciones de manejo de fauna silvestre para centros de rescate”.,Documento / Lineamiento,13_aprobar_los_lineamientos_para_la_elaboracion_de_declara_documento.pdf,Documentos Normativos OPR/Lineamiento/Vigente/13_aprobar_los_lineamientos_para_la_elaboracion_de_declara_documento.pdf,https://cdn.www.gob.pe/uploads/document/file/6420755/4127165-0-2-proyecto-de-lineamiento-dpr-07-03-2023ff.pdf?v=1717086414
14,Lineamiento,Vigente,RDE N° D000082-2023-MIDAGRI-SERFOR-DE,2023-03-24,"Aprobar los “Lineamientos para el Registro, Sistematización y Remisión de la Información Forestal y de Fauna Silvestre”.",Resolucion,14_aprobar_los_lineamientos_para_el_registro_sistematizaci_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/14_aprobar_los_lineamientos_para_el_registro_sistematizaci_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/4429398/RDE-000082-2023-DE.pdf?v=1681421915
14,Lineamiento,Vigente,RDE N° D000082-2023-MIDAGRI-SERFOR-DE,2023-03-24,"Aprobar los “Lineamientos para el Registro, Sistematización y Remisión de la Información Forestal y de Fauna Silvestre”.",Documento / Lineamiento,14_aprobar_los_lineamientos_para_el_registro_sistematizaci_documento.pdf,Documentos Normativos OPR/Lineamiento/Vigente/14_aprobar_los_lineamientos_para_el_registro_sistematizaci_documento.pdf,https://cdn.www.gob.pe/uploads/document/file/4429402/A._LINEAMIENTO_PARA_EL_REGISTRO_DE_LA_INFORMACION_FORESTAL_Y_DE_FAUNA_SILVESTREFF.pdf?v=1681421916
15,Lineamiento,Vigente,RDE N° D000075-2023-MIDAGRI-SERFOR-DE,2023-03-18,"Aprobar los “Lineamientos para la transferencia de productos, subproductos, o especímenes forestales decomisados o declarados en abandono”.",Resolucion,15_aprobar_los_lineamientos_para_la_transferencia_de_produ_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/15_aprobar_los_lineamientos_para_la_transferencia_de_produ_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/4429318/RDE-000075-2023-DE.pdf?v=1681421860
15,Lineamiento,Vigente,RDE N° D000075-2023-MIDAGRI-SERFOR-DE,2023-03-18,"Aprobar los “Lineamientos para la transferencia de productos, subproductos, o especímenes forestales decomisados o declarados en abandono”.",Documento / Lineamiento,15_aprobar_los_lineamientos_para_la_transferencia_de_produ_documento.pdf,Documentos Normativos OPR/Lineamiento/Vigente/15_aprobar_los_lineamientos_para_la_transferencia_de_produ_documento.pdf,https://cdn.www.gob.pe/uploads/document/file/4429330/LIN_Transferencia_de_Productos_ForestalesFF.pdf?v=1681421866
16,Lineamiento,Vigente,RDE N° D000064-2023-MIDAGRI-SERFOR-DE,2023-03-09,Aprobar los “Lineamientos para la elaboración de la declaración de manejo para el aprovechamiento forestal en bosques secundarios”.,Resolucion,16_aprobar_los_lineamientos_para_la_elaboracion_de_la_decl_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/16_aprobar_los_lineamientos_para_la_elaboracion_de_la_decl_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/4238629/RDE-000064-2023-DE.pdf.pdf?v=1678447042
16,Lineamiento,Vigente,RDE N° D000064-2023-MIDAGRI-SERFOR-DE,2023-03-09,Aprobar los “Lineamientos para la elaboración de la declaración de manejo para el aprovechamiento forestal en bosques secundarios”.,Documento / Lineamiento,16_aprobar_los_lineamientos_para_la_elaboracion_de_la_decl_documento.pdf,Documentos Normativos OPR/Lineamiento/Vigente/16_aprobar_los_lineamientos_para_la_elaboracion_de_la_decl_documento.pdf,https://cdn.www.gob.pe/uploads/document/file/4238630/LINEAMIENTOS%20DEMA%20BOSQUES%20SECUNDARIOS%20vfF.pdf.pdf?v=1678447042
17,Lineamiento,Vigente,RDE N° D000061-2023-MIDAGRI-SERFOR-DE,2023-03-08,Aprobar los “Lineamientos para la elaboración de la declaración de manejo para el aprovechamiento forestal maderable en bosques secos”.,Resolucion,17_aprobar_los_lineamientos_para_la_elaboracion_de_la_decl_resolucion.pdf,Documentos Normativos OPR/Lineamiento/Vigente/17_aprobar_los_lineamientos_para_la_elaboracion_de_la_decl_resolucion.pdf,https://cdn.www.gob.pe/uploads/document/file/4429274/RDE-000061-2023-DE.pdf?v=1681421830
